date_date,paid_source,campaign_key,campaign_name,cost,impression,click
2021-08-25,Bing,FR - SHP - All Products,FR - SHP - All Products,171.0,96716.0,841.0
2021-08-23,Bing,FR - SHP - All Products,FR - SHP - All Products,171.0,101991.0,905.0
2021-07-04,Bing,FR - SHP - All Products,FR - SHP - All Products,82.0,74477.0,484.0
2021-07-03,Bing,FR - SHP - All Products,FR - SHP - All Products,86.0,69845.0,441.0
2021-07-05,Bing,FR - SHP - All Products,FR - SHP - All Products,98.0,86144.0,542.0
2021-07-08,Bing,FR - SHP - All Products,FR - SHP - All Products,102.0,81979.0,563.0
2021-08-28,Bing,FR - SHP - All Products,FR - SHP - All Products,110.0,77613.0,671.0
2021-06-22,Bing,FR - SHP - All Products,FR - SHP - All Products,114.0,97596.0,590.0
2021-06-06,Bing,FR - SHP - All Products,FR - SHP - All Products,114.0,93735.0,481.0
2021-08-13,Bing,FR - SHP - All Products,FR - SHP - All Products,118.0,73646.0,580.0
2021-07-24,Bing,FR - SHP - All Products,FR - SHP - All Products,118.0,74784.0,478.0
2021-08-14,Bing,FR - SHP - All Products,FR - SHP - All Products,118.0,66233.0,557.0
2021-07-15,Bing,FR - SHP - All Products,FR - SHP - All Products,132.0,82376.0,527.0
2021-08-21,Bing,FR - SHP - All Products,FR - SHP - All Products,140.0,81971.0,781.0
2021-09-05,Bing,FR - SHP - All Products,FR - SHP - All Products,148.0,86651.0,761.0
2021-06-27,Bing,FR - SHP - All Products,FR - SHP - All Products,148.0,88887.0,620.0
2021-08-04,Bing,FR - SHP - All Products,FR - SHP - All Products,148.0,101004.0,642.0
2021-06-03,Bing,FR - SHP - All Products,FR - SHP - All Products,156.0,127443.0,683.0
2021-08-24,Bing,FR - SHP - All Products,FR - SHP - All Products,188.0,101979.0,896.0
2021-07-10,Bing,FR - SHP - All Products,FR - SHP - All Products,188.0,76164.0,481.0
2021-09-25,Bing,FR - SHP - All Products,FR - SHP - All Products,196.0,100688.0,852.0
2021-09-04,Bing,FR - SHP - All Products,FR - SHP - All Products,204.0,93771.0,796.0
2021-09-15,Bing,FR - SHP - All Products,FR - SHP - All Products,212.0,129167.0,1023.0
2021-09-19,Bing,FR - SHP - All Products,FR - SHP - All Products,264.0,121128.0,1148.0
2021-06-11,Bing,FR - SHP - All Products,FR - SHP - All Products,133.0,115497.0,552.0
2021-08-17,Bing,FR - SHP - All Products,FR - SHP - All Products,133.0,93932.0,734.0
2021-09-07,Bing,FR - SHP - All Products,FR - SHP - All Products,133.0,97202.0,810.0
2021-06-21,Bing,FR - SHP - All Products,FR - SHP - All Products,157.0,101909.0,725.0
2021-06-04,Bing,FR - SHP - All Products,FR - SHP - All Products,157.0,128384.0,725.0
