orders_id,shipping_fee,log_cost,ship_cost
1002564,0,10,6
1002561,0,16.55,8
1002560,0.94,10.7,5
1002548,0.95,12.65,3
1002500,4.58,15.2,8
1002477,0.92,13.55,8
1002466,0,8.15,3
1002462,0.93,12.5,6
1002457,0.93,8.6,5
1002441,5.75,8.15,2
1002422,0.95,12.35,6
1002412,15.35,8.3,5
1002381,0.92,9.05,4
1002378,0.93,8,5
1002374,3.69,9.5,4
1002367,38.02,21.05,5
1002326,0.92,9.2,6
1002324,0.93,12.2,6
1002295,0,9.05,6
1002293,4.55,9.8,8
1002265,0.9,11.6,5
1002259,3.54,8,2
1002256,0.92,8.15,4
1002249,0.95,9.8,5
1002248,0.94,11.75,6
1002242,0.94,8.9,6
1002241,0.86,15.2,5
1002227,0.94,12.35,4
1002226,0,9.8,5
1002218,0.95,8.6,6
1002216,0.96,10.25,4
1002214,0.94,8,2
1002212,0.96,8.75,5
1002197,0.93,12.05,6
1002182,3.25,11.75,2
1002167,0.94,9.35,5
1002164,0.91,14.9,6
1002151,30.88,24.95,4
1002121,0.93,11.6,4
1002110,0.95,9.05,5
1002103,0.94,12.65,6
1002092,5.58,8.9,5
1002037,0.92,8.6,6
1002032,0.93,8,5
1002007,0.92,9.05,5
1002004,0.97,8.3,5
1001995,0.89,8,5
1001985,0.92,8,4
1001927,0.91,8,8
1001926,0.94,8.9,5
1001919,3.78,12.2,5
1001910,0.96,9.5,5
1001888,3.25,8.45,3
1001883,0.92,10.7,6
1001880,0.92,12.05,5
1001875,0.94,8.45,6
1001777,0.98,12.95,6
1001750,0.95,8,6
1001722,0.94,8.15,5
1001614,6.53,8.9,4
1001607,3.61,9.95,6
1001598,0.98,9.8,3
1001591,0,12.5,6
1001583,0.92,9.8,4
1001493,0.9,8.15,5
1001483,0,12.65,6
1001482,0.91,8.15,4
1001467,0,8.45,5
1001465,0,10.25,2
1001464,20,10.25,2
1001456,0.93,9.2,5
1001450,0.93,9.05,5
1001434,3.68,8.9,5
1001421,0.92,10.55,5
1001404,0.89,8,5
1001382,0,8,5
1001350,0.9,10.25,6
1001336,0.94,8.45,4
1001303,0.9,8.3,5
1001278,0.91,10.25,4
1001269,3.72,8.45,4
1001266,3.79,10.4,6
1001261,0.94,12.35,4
1001249,0.94,12.2,5
1001248,3.52,9.2,5
1001230,0.94,10.25,4
1001226,0.96,8.9,4
1001196,0,8.45,4
1001195,0.95,10.1,4
1001190,0.96,10.25,5
1001180,3.63,9.05,5
1001173,0.95,8,5
1001130,0.94,11,6
1001110,0,10.7,4
1001106,0.98,12.05,6
1001086,5,13.4,4
1001063,0.88,11.3,5
1001035,0.95,9.65,5
1001022,0.92,8.3,5
1001004,0.9,10.7,6
1000947,0.92,10.25,6
1000926,0.93,8.3,5
1000921,0.95,17.15,2
1000912,0.87,8.45,5
1000899,28.47,11.45,5
1000890,0.92,10.4,5
1000887,0.95,8.75,5
1000852,4.6,9.2,8
1000838,0.93,10.7,5
1000825,0.95,9.35,4
1000813,13.31,8,4
1000804,0.92,8.45,5
1000800,3.32,9.65,4
1000731,0.92,9.2,5
1000728,0.95,10.7,4
1000689,3.71,8.3,5
1000677,0.95,12.35,6
1000638,5.14,10.4,5
1000611,0.95,9.5,5
1000610,0.91,9.65,6
1000589,0,9.2,5
1000570,3.58,9.2,5
1000558,0,9.35,4
1000541,3.7,11.75,2
1000498,0.94,8.9,4
1000487,0.95,8.15,6
1000472,0.94,8,4
1000393,6.54,10.25,2
1000374,3.64,10.25,6
1000343,3.7,10.85,3
1000322,0,8.3,5
1000315,3.66,24.2,5
1000308,0.94,8.75,5
1000307,0.94,9.35,5
1000306,0.94,9.95,6
1000292,0.94,8.3,5
1000289,3.45,9.2,5
1000277,6.63,13.1,4
1000268,0.94,13.25,6
1000263,0.87,9.65,5
1000227,0.89,8.45,8
1000221,0.93,9.2,5
1000215,0.95,8.75,2
1000206,0.88,9.05,6
1000181,0.94,8.45,5
1000168,0.95,29.75,2
1000157,0.91,8.9,4
1000147,22.01,34.4,3
1000118,0.9,10.4,6
1000116,0.95,9.35,6
1000111,0.89,8.45,6
1000110,0.97,10.1,6
1000076,0.88,8.6,4
1000058,3.7,10.25,3
1000038,0.94,9.05,5
1000034,3.6,10.7,6
1000019,0.94,16.85,5
1000015,3.3,8,4
999984,0,9.35,6
999977,0,11.6,8
999976,0,9.05,3
999971,0,8.3,5
999967,0,9.95,6
999961,0.92,8.75,4
999938,0,10.85,4
999911,0,10.25,5
999910,0.93,8.3,6
999885,0,20.9,5
999880,0,8.6,5
999874,0,9.8,5
999868,0.84,10.25,4
999852,0,8.6,4
999836,0,9.95,4
999810,0,9.2,5
999778,0,17.9,4
999761,0.91,8,5
999728,23.35,14.75,4
999717,0,8.15,5
999716,0,8,5
999715,0.98,11.9,8
999711,0,8.9,6
999676,0,9.8,5
999659,0,10.25,8
999643,0,8.45,6
999623,0.94,8,5
999618,7.34,9.05,4
999603,0,9.05,4
999602,0.94,12.5,5
999583,0,9.65,5
999570,0.89,11.45,8
999555,0,8.6,6
999537,0.9,9.2,6
999535,3.58,8.15,5
999526,0,10.7,5
999522,0,9.95,5
999521,3.66,9.35,6
999495,0,8.6,6
999491,0,8.6,5
999472,0,9.05,6
999466,0,14.9,5
999374,0,8.15,5
999355,0.9,14.45,8
999344,0,11.75,6
999289,3.66,8.15,5
999288,0,10.7,5
999262,0.97,8.6,5
999258,0,8.15,5
999240,0,10.25,6
999204,0,8.45,5
999200,0.89,9.2,6
999199,0,9.35,5
999186,0.93,8,4
999184,0,9.2,5
999148,0,8.6,4
999125,0,8.75,5
999114,0,13.25,4
999098,0,9.8,8
999094,0,8.15,6
999089,3.7,10.25,2
999083,0,8.45,5
999051,0,8.9,6
999001,0,11,4
998973,0,8.45,4
998969,0,9.2,5
998959,0,9.35,6
998923,3.55,11.45,3
998901,0,8,5
998897,0,8.75,2
998871,0,8.15,4
998830,0.94,8.15,5
998821,0,8.3,5
998810,0,10.1,4
998775,0,8.15,4
998742,0,10.1,4
998709,15.69,8,3
998693,0,8.6,5
998688,0,15.05,5
998662,3.68,11.75,4
998617,0,8.9,8
998614,0,9.2,5
998608,3.66,17,6
998587,0,8.75,5
998583,0,8.15,4
998577,0,11.9,8
998566,0,9.5,4
998565,0,9.5,5
998555,18.48,8.3,4
998549,0,8.3,5
998542,0,8.9,6
998541,0.84,12.95,4
998533,0,9.05,5
998531,15.33,10.55,5
998511,0,10.1,4
998491,0,10.4,6
998475,0,9.95,4
998381,0,8.45,4
998369,0,9.95,4
998364,0.99,12.95,6
998359,0,13.55,6
998358,0.96,11.45,6
998299,0,9.2,4
998282,0,10.7,4
998281,0,8.15,4
998273,0,10.25,5
998266,3.63,10.55,5
998261,0,8,4
998213,0.92,12.65,5
998206,0,9.5,4
998202,0.93,8.15,5
998189,0.94,9.65,8
998183,0,10.1,6
998167,0,8.45,5
998158,0,10.55,5
998150,0,8.15,5
998132,0,8.75,5
998131,0,8.75,4
998102,0,9.5,6
998069,0,9.2,5
998054,0,8,6
998037,0.91,8.15,4
998032,0,8.6,6
998001,0,9.95,5
997978,0,12.5,4
997967,0,8.75,6
997944,0,9.35,6
997939,0,8.15,5
997898,0.92,9.8,5
997884,0,8.6,5
997882,0.95,8,4
997860,0,11.6,6
997824,0,9.5,6
997806,0,8.9,5
997803,0,8.45,5
997798,0,8.3,2
997776,0.97,11.45,6
997772,0,8.15,5
997738,0,21.95,8
997736,0.95,8,2
997713,0,9.5,6
997699,0,8.15,5
997670,0,8.45,5
997601,0.88,12.8,4
997577,0.89,13.85,5
997551,0,8.6,5
997522,0,15.8,5
997502,0,12.65,6
997501,0,10.85,5
997442,0.96,10.85,5
997440,0.96,8,5
997420,0,10.4,4
997405,0,8.9,5
997378,0,10.25,6
997377,0,8.3,4
997373,0,11,6
997365,0.91,9.35,5
997355,0,9.95,5
997339,0,13.4,5
997338,0,12.2,6
997314,0,8.75,4
997290,0,8.15,4
997288,0,10.55,3
997277,0,14,2
997266,0,10.55,4
997252,0.82,12.05,2
997189,0,10.55,6
997175,0,9.8,6
997164,0.85,8.45,5
997133,0,10.55,6
997096,0,10.1,5
997090,0.96,9.35,6
997052,0,8.9,5
997043,0.9,8.75,6
997036,0.9,10.7,4
996991,0.89,8.3,4
996928,0.92,8.45,6
996916,0,10.25,5
996895,0,8.6,5
996893,0,8.75,6
996887,0,8,4
996884,0,8.3,5
996880,0.95,8.9,4
996878,0,8.3,4
996849,0.88,9.2,6
996848,0,9.35,4
996797,0,8.75,5
996757,3.71,8,4
996734,0,15.05,3
996724,0,8,2
996712,0,8.15,4
996709,0.92,9.35,4
996706,5.42,8.15,4
996693,0,8.6,6
996685,4.54,17.6,6
996684,0,9.65,6
996669,0.9,8.6,5
996655,0.92,8.75,5
996632,0,8.75,5
996630,0,8,5
996611,0,8,5
996571,3.7,10.25,2
996569,0,10.85,4
996554,0.89,11.15,4
996539,0.91,8.45,5
996536,0,8.75,5
996533,3.69,8.75,4
996525,0.95,9.05,6
996491,7.36,8.3,4
996476,0.93,8.3,4
996474,0.89,8,5
996459,0.93,12.8,8
996455,7.36,13.25,4
996413,0,8.45,6
996412,7.34,9.35,5
996384,0.87,9.65,8
996353,0.88,10.55,6
996352,0.88,8.6,4
996347,0,8.9,5
996340,0,9.8,5
996325,19.38,14.9,5
996254,0,14.9,4
996252,0,8.6,5
996213,14,13.55,6
996168,4.65,9.5,8
996165,0.92,8.75,6
996151,0.92,9.2,6
996119,4.46,27.65,8
996028,0,8,5
996025,0,8,5
995988,0.95,10.7,5
995951,0.93,8.75,5
995806,0.89,9.8,6
995796,0,8.6,5
995771,0,8.6,5
995764,0,9.65,5
995742,0.92,8.3,5
995715,0,16.1,5
995714,0,8.15,5
995701,0.99,12.35,5
995675,0.95,16.25,6
995666,3.7,10.85,3
995649,0.9,8.6,6
995624,0,9.2,3
995592,0,8.3,5
995585,0.94,8.3,5
995583,0.88,8.6,6
995576,0.96,8.75,5
995555,3.6,11.75,8
995553,3.51,8.45,5
995551,3.71,8.6,5
995508,0,8.3,3
995449,0,8.75,3
995445,0,8.9,6
995433,0.93,12.95,5
995425,0,10.85,4
995378,9.39,8.45,2
995373,0,14.45,2
995367,0.9,9.95,5
995362,0.94,9.05,6
995312,3.69,8.45,5
995311,0,9.95,6
995303,0,10.25,5
995299,0,14.3,5
995289,0.94,10.25,4
995269,3.52,8.6,5
995266,0,8,5
995260,0,12.35,8
995250,0,9.2,5
995242,0,12.8,6
995238,0.94,8.15,5
995221,15.35,9.05,6
995198,0.93,8.45,6
995182,0,9.05,2
995162,0.94,13.4,6
995156,0,9.65,6
995138,0,11.6,5
995133,0.94,11.9,5
995124,3.65,8.15,3
995109,0.92,8.15,5
995106,0.95,8.75,2
995089,0,9.35,5
995079,0,9.95,6
995074,0,10.4,8
995046,0.89,8.6,5
995036,3.66,8.3,4
995029,0,9.5,6
994946,18.48,8.75,4
994943,0,8.9,6
994917,0.93,9.05,6
994885,0.95,15.35,6
994873,3.63,9.65,6
994864,0,8.45,5
994820,0.97,12.8,4
994787,3.58,8.45,6
994783,0,11.75,2
994771,5.45,8.15,3
994765,0.92,13.7,6
994759,0.94,15.35,4
994751,0,14.75,8
994739,0.94,8,5
994727,0.94,8.9,4
994698,0.94,12.95,6
994696,0.93,8.15,5
994680,0,8.15,6
994622,0,8.45,4
994599,0,9.05,5
994594,3.63,11.9,6
994576,0,29.15,8
994559,23.41,9.95,8
994554,0,10.4,6
994536,0,8.15,5
994520,0,20.15,6
994514,0.96,10.4,6
994512,4.62,20,8
994510,0.92,15.2,5
994501,0,8.9,6
994489,0,13.1,5
994484,0,9.35,5
994445,0.94,8,5
994443,0.89,9.05,6
994409,0,35.75,2
994397,0.9,8.15,6
994375,0.91,9.05,5
994332,0.94,10.55,8
994305,0,9.35,5
994294,0,8.9,5
994293,0.95,8.75,2
994275,0,11.15,6
994210,0.88,8.6,5
994204,0.95,8.15,4
994196,0.91,8.9,5
994185,18.48,8,2
994181,0,9.8,2
994114,0.93,9.2,5
994109,0.92,10.25,4
994085,0.98,9.8,6
994072,0,8.9,4
994061,3.5,8.6,4
994021,0.92,8.3,5
994019,0,8.15,4
993917,1.01,14.9,8
993902,0.96,9.8,5
993894,0,9.2,6
993843,0,12.05,6
993801,0,13.25,6
993798,0,8.75,5
993740,0.93,13.7,8
993733,0,8.45,4
993698,3.61,8.3,5
993688,0,10.85,5
993686,0.87,8.9,4
993670,4.59,15.65,8
993650,0.92,11.15,6
993647,15.36,15.2,4
993642,0.93,11,6
993641,0.95,8.6,5
993639,0,12.5,6
993635,0,8.15,3
993624,3.78,9.05,6
993565,0.87,8,4
993523,0.89,11,8
993484,0.93,14.45,6
993476,0.9,14.15,5
993457,0.92,8,5
993424,0,8.75,5
993422,0.91,9.65,6
993420,0.92,8.45,6
993418,89.98,16.85,5
993404,0.86,8.6,3
993394,0,8.15,6
993382,0.89,9.5,6
993381,0.92,11.6,5
993340,0.93,11,3
993289,0,8.3,5
993273,3.68,9.5,5
993248,0,8.45,4
993242,3.57,9.05,6
993238,0.89,13.1,6
993213,0.89,8.45,6
993211,0.96,9.95,6
993194,3.68,9.2,4
993094,4.26,8.3,5
993093,0,9.05,5
993041,0.96,10.4,5
993039,3.66,9.35,6
992986,3.7,8.75,3
992968,0.96,10.4,4
992950,3.61,9.35,5
992946,7.41,8.3,4
992936,0.94,13.55,5
992926,15.36,8,6
992920,4.55,16.55,6
992910,0,8.9,6
992904,0.92,8.45,4
992889,3.69,11.15,8
992885,0.88,12.95,6
992881,0.96,10.1,5
992847,0.96,14.15,5
992843,0.97,15.05,5
992837,0.9,8.75,8
992825,0.82,8.3,5
992806,3.63,10.1,3
992804,3.76,12.05,6
992792,0.96,9.35,5
992764,0.86,9.35,4
992754,0.94,10.7,5
992700,3.69,8.3,4
992675,0.89,8.9,5
992674,0.88,8.3,6
992638,0.95,9.05,2
992601,0.92,9.05,5
992591,0.96,8.75,6
992590,0.9,8.15,5
992585,0.94,8.6,6
992583,0.94,9.5,5
992534,3.68,9.05,4
992497,0.95,10.55,8
992484,0.93,11.15,8
992475,0.88,8.75,5
992471,0.89,11.6,5
992469,0.95,11.45,2
992468,0.92,8.3,5
992462,0.94,8.3,5
992431,4.59,20.75,6
992426,0.95,8.45,5
992387,0.89,11.75,6
992385,0.91,8.45,6
992373,0.87,9.2,5
992370,0.91,8.6,4
992322,4.44,18.5,8
992313,0.95,8.75,5
992291,0.94,8.75,4
992290,4.33,8.3,8
992257,0.96,9.35,6
992250,3.55,9.65,5
992217,3.61,8.3,4
992205,0.94,13.4,5
992202,0.95,9.05,5
992152,0.87,8.15,5
992146,6.64,10.85,4
992065,0.96,9.65,5
992053,0.92,8.45,5
992032,0.92,8.75,6
992004,0.93,8.15,5
992003,0.89,11.3,6
991984,0.85,8.15,5
991967,0.89,8.3,5
991958,0.92,8.6,5
991922,0.92,12.05,5
991894,0.94,9.35,6
991855,0.94,8.45,5
991850,0.93,8.9,6
991781,1.02,11.6,6
991769,0.96,8.9,6
991738,0.94,14.45,6
991679,0.95,10.25,2
991674,0.96,16.7,6
991607,0.93,8,5
991596,0.97,8,5
991594,3.7,8.9,3
991556,0.88,9.35,5
991543,4.48,12.05,8
991531,0.93,11.75,3
991520,0.92,11.9,6
991519,0.94,8.6,5
991469,0.93,8.3,6
991448,4.55,8,8
991420,11.41,8.3,5
991409,0.95,8.9,4
991403,0.93,12.95,3
991362,0.84,8.45,5
991350,4.19,8.6,5
991349,4.63,13.4,8
991328,1,14,8
991317,0.89,8.3,4
991275,0,8.75,5
991234,0.85,8.15,5
991207,0.9,11.9,6
991205,0,10.55,3
991201,0.93,8,4
991166,0.9,9.35,4
991125,3.7,8,5
991104,0.88,9.2,6
991079,0.92,8.3,5
991037,3.7,8,3
991032,0.92,9.05,4
991025,0.95,9.35,6
991023,0.93,10.1,4
991008,0.94,13.25,6
990941,0.96,13.85,6
990932,0.94,9.5,5
990906,0.88,8,3
990892,0,8.15,5
990891,0.93,12.35,3
990885,12,8,3
990874,0.94,14.3,6
990868,0.88,9.95,5
990855,0.93,9.05,6
990769,0.96,10.7,5
990756,0.94,8,5
990753,0.95,8.75,4
990752,0.93,8.9,5
990750,0.93,10.4,4
990743,0.95,10.7,4
990740,0.98,11.75,5
990738,0.95,9.2,4
990734,0.95,17.6,2
990729,0.95,17.6,2
990728,0.94,11.6,4
990725,0.95,17.6,2
990719,0.95,9.35,5
990711,2.73,10.85,6
990710,0.9,8.15,3
990693,0.96,9.95,5
990692,0.95,8.75,4
990678,0.89,9.8,6
990656,0.91,12.05,6
990655,0.92,8.75,5
990654,0.92,8.15,5
990651,0.87,12.8,5
990607,0.96,9.35,5
990597,0.9,9.35,5
990584,0.93,9.5,5
990573,0.95,9.05,6
990570,0.94,10.1,4
990552,0.95,15.2,6
990522,0.95,8.15,4
990517,0.94,9.05,6
990502,0.93,8.9,5
990477,0.93,11,6
990476,0.96,11.9,6
990463,0.94,9.35,3
990456,0.92,9.8,6
990404,0.96,9.05,4
990382,0.9,9.05,4
990363,0.91,8.9,5
990349,0.93,9.8,5
990346,0.95,8.6,3
990343,0.92,8,6
990336,0.88,8.75,4
990322,0.91,14,6
990310,0.95,9.8,6
990307,0.95,8.3,4
990305,0.94,8,6
990295,0.95,8.6,5
990287,0.94,11.45,3
990253,0.93,8.9,5
990228,0.91,10.7,5
990225,0.9,8.45,6
990224,0.83,8.75,2
990220,0.95,8.6,6
990213,0.93,9.65,5
990131,3.7,8.15,4
990129,0.95,8.15,4
990126,0.88,11.3,5
990122,0.91,9.95,8
990115,0.95,8.75,2
990112,0.9,8.15,5
990090,0.9,10.1,6
990081,4.18,11.15,5
990067,0.92,8,6
990065,0.95,8,3
990038,0.95,8.75,5
990036,0.94,8,5
990034,4.61,8.3,8
989996,0.91,9.8,5
989931,0.92,8.75,5
989918,0.96,11.3,5
989901,0.94,8.3,6
989900,0.93,9.2,4
989893,3.62,10.1,5
989854,0.9,9.05,4
989831,0.88,8.45,5
989818,0.91,9.65,2
989817,0.93,10.7,5
989781,0.92,13.4,8
989780,0.93,13.4,6
989771,0.91,8.15,6
989765,0.94,8.9,4
989755,0.94,14.6,6
989738,0.88,10.25,6
989733,0.88,9.65,5
989729,0.89,8.75,6
989727,0.93,8.9,4
989725,19.38,14,6
989715,0.91,11,5
989684,0.97,10.25,3
989679,0.88,8,5
989656,0.94,8.6,4
989643,6.64,11.75,4
989638,0.91,12.65,5
989628,0.95,8.15,5
989622,0.94,10.85,6
989608,0.97,15.05,3
989587,0.94,8.45,6
989578,0.94,11,8
989555,3.67,8.3,5
989548,0.89,9.95,5
989542,0.96,8.45,6
989531,0.91,8.45,4
989492,0.95,8.9,4
989483,3.7,8.9,2
989474,15.36,11.6,6
989460,0.94,8.6,6
989437,0.91,12.05,4
989405,0.92,8.75,5
989383,3.69,8,5
989374,0.91,8.6,4
989342,0.86,10.25,5
989341,0.95,16.55,6
989340,0.93,8.75,4
989335,0.93,9.8,5
989331,0.94,12.35,5
989319,0.86,14.9,6
989303,11.4,8.75,6
989252,0.95,8.3,2
989248,0.96,8.45,5
989229,0.91,12.35,5
989212,0.95,9.65,6
989182,0.94,8.3,5
989173,37.13,23,6
989164,0.95,8,5
989150,0.94,8.6,6
989149,0.94,8.3,5
989140,0.88,8,5
989137,0.94,13.55,5
989125,0.9,8.15,5
989124,0.93,11.15,6
989116,0.92,8.15,6
989107,4.32,12.35,6
989086,0.91,8.15,5
989079,0.87,8.45,3
989077,0.9,8.45,4
989064,0.92,8.9,5
989039,0,92.75,3
989006,0.94,8.6,5
988998,0.96,10.1,4
988946,0.89,8.9,6
988929,0.93,9.05,5
988926,0.96,11.75,6
988923,3.69,8.15,2
988921,0.95,8.3,4
988911,0.93,13.4,6
988905,0.91,8.6,5
988877,0.97,17.3,6
988873,0.88,9.8,6
988872,0.91,9.05,3
988869,0.93,9.95,6
988856,0.93,8.3,6
988854,0.92,10.7,4
988832,0.94,9.2,6
988826,0.89,11.15,6
988802,0.92,8.15,5
988799,0.95,8.3,5
988796,0.92,8.6,5
988790,0.92,9.35,5
988766,0.93,8,5
988737,0.93,9.35,6
988735,0.88,15.65,5
988721,0.97,14.6,4
988690,0.96,11,5
988679,0.89,8.9,6
988672,0.94,8.45,5
988658,0.91,8,4
988633,3.7,10.7,4
988628,0.88,10.4,4
988606,3.74,9.35,4
988591,0.87,8.75,8
988583,0.94,8.3,4
988581,3.67,10.85,5
988566,0.93,17,6
988558,0.91,9.5,5
988553,0.91,9.35,4
988548,0.89,9.8,6
988531,0.88,9.5,8
988525,0.91,8.45,5
988439,3.52,9.35,5
988426,0.95,9.05,5
988423,0.92,8.75,6
988422,0.95,8.3,4
988404,0.86,13.55,6
988403,4.52,24.8,8
988401,0.92,8.6,6
988397,0.93,18.65,6
988394,35,9.65,6
988385,0.94,8.45,4
988371,0.92,10.55,6
988333,0.9,8.15,5
988320,0.94,15.2,5
988315,3.69,8.9,5
988291,3.62,8.45,5
988268,0.94,8.45,4
988266,0.94,12.65,4
988259,0.93,10.1,5
988239,0.94,12.65,4
988231,0.92,9.35,6
988227,0.95,11.75,2
988226,0.93,13.4,8
988222,0.93,21.35,6
988215,4.22,13.1,8
988188,0.94,8.3,4
988176,0.98,8.45,5
988155,0.91,12.05,8
988150,0.95,17.75,2
988146,0.85,8.75,5
988114,3.69,8,2
988098,0.91,9.05,5
988084,0.9,14.6,6
988071,0.95,8.3,2
988070,18.48,8.45,4
988065,0.93,9.5,6
988052,0.94,9.95,3
988051,15.35,9.35,5
988050,4.65,26.15,6
988048,0.95,15.8,5
988043,0.83,8.3,2
988036,0.94,11,4
988033,0.96,8,4
987995,0.96,10.55,6
987969,0.91,9.8,6
987940,0.84,9.2,4
987904,0.94,14.6,4
987899,0.92,9.8,5
987898,0.97,13.4,6
987896,0.94,9.95,6
987881,0.94,9.65,6
987857,4.63,10.4,8
987855,6.54,10.25,2
987836,0.95,8.3,5
987810,0.85,8,8
987808,0.9,9.8,6
987800,0.95,8.15,2
987776,0.94,14,5
987747,4.63,20.3,6
987742,0.92,9.5,5
987715,5.75,8.75,2
987694,0.94,9.95,6
987678,0.9,9.35,5
987645,0.95,8.15,2
987640,0.95,8,5
987602,0.92,9.05,5
987568,3.55,10.55,5
987518,7.35,13.7,4
987483,0.95,10.85,5
987474,0.95,8.45,4
987463,0.91,8.6,5
987451,0.89,8.6,5
987385,100,47.75,3
987362,0.9,8.45,4
987333,4.63,8,8
987314,0.95,8.75,5
987297,0.9,12.8,6
987294,0.94,9.2,4
987265,0.93,8,6
987257,3.62,8.75,3
987237,0.95,10.25,4
987208,0.91,12.5,6
987177,4.52,21.2,6
987164,0.9,9.65,5
987157,0.95,10.1,4
987154,0.97,8.3,6
987148,0.95,8.9,2
987140,0.97,9.2,5
987128,3.67,9.5,6
987127,0.95,9.5,4
987112,0.93,8,5
987102,0.94,9.35,5
987091,0.9,9.8,5
987078,0.93,9.2,5
987060,0.94,8.3,4
987059,0.9,11,8
987043,38.46,12.5,8
987038,0.9,9.5,4
987033,0.94,13.7,5
987022,0.95,9.65,6
987020,0.92,8.45,4
987003,0.93,8.3,5
986998,0.96,9.65,4
986995,0.91,9.05,4
986983,0.96,8.9,4
986972,0.88,8.3,5
986954,0.94,8.75,5
986951,0.94,8,3
986944,0.91,11.75,5
986941,0.87,8.15,5
986933,0.95,12.2,6
986929,0.97,9.95,6
986927,0.95,9.65,6
986909,0.95,9.8,6
986894,0.91,8.75,5
986889,0.94,9.8,6
986888,0.99,9.65,5
986883,0.93,9.95,8
986875,0.84,8.15,4
986872,0.9,12.05,5
986844,0.92,9.2,5
986834,0.97,13.4,8
986826,0.91,9.05,5
986818,3.71,15.65,8
986817,0.91,8,4
986816,0.95,9.65,6
986808,7.37,10.55,5
986807,0.92,8.3,6
986787,0.93,8.15,4
986786,0.85,8,5
986777,0.92,10.1,5
986741,0.95,10.25,6
986740,0.93,16.7,4
986737,0.91,8.6,6
986680,0.88,12.8,6
986658,0.93,9.8,6
986628,0.93,8,5
986620,0.97,10.85,6
986617,0.92,8.45,4
986595,0.95,16.25,2
986563,0.93,8.15,5
986554,4.46,14,8
986551,4.55,18.2,6
986534,0.92,8.6,5
986532,4.63,16.4,8
986526,0.95,12.95,8
986481,0.92,8.45,6
986478,0.95,18.05,2
986457,0.89,10.4,6
986434,0.96,8.45,5
986407,0.93,11.6,6
986397,0.93,15.35,4
986393,0.92,8.6,5
986392,0.93,8,4
986385,0.95,9.95,6
986379,0.94,9.8,5
986375,4.62,19.85,6
986370,0.91,9.65,5
986369,0.92,8.3,5
986359,0.93,9.35,4
986352,0.93,9.5,5
986339,0.94,8,5
986331,0.94,12.2,4
986323,15.36,22.55,6
986304,0.89,8,6
986301,0.89,8.3,5
986300,3.72,11.9,5
986286,0.95,8.9,5
986269,0.94,10.4,5
986264,3.59,11,4
986233,0.91,9.5,4
986231,0.95,9.05,3
986219,0.94,9.65,5
986205,0.94,8.75,5
986201,7.36,8.3,4
986200,0.96,9.35,6
986191,0.92,13.55,4
986190,0.88,9.05,3
986186,0.95,15.05,5
986174,0.9,10.1,6
986169,7.37,8,5
986165,0.94,8,4
986164,0.95,9.8,5
986130,3.46,9.8,6
986126,0.96,8,4
986124,0.94,10.7,6
986120,0.94,13.85,4
986117,0.91,8.9,5
986087,0.89,8.3,5
986074,0.93,11.6,4
986070,0.95,8.15,2
986048,0.83,9.05,2
986038,0.96,8.15,5
986034,0.93,13.85,6
986030,0.91,8.9,6
986015,28.98,8,5
985994,0.86,8.3,3
985989,0.9,10.55,5
985985,0.96,9.95,5
985947,0.94,9.05,6
985943,0.94,9.05,4
985935,0.93,8.6,5
985915,0.93,12.95,6
985911,0.85,8,5
985909,0.9,12.95,5
985895,6.53,14.9,3
985887,0.93,11.45,5
985877,0.87,8,5
985872,0.95,9.8,5
985852,0.91,8.75,6
985841,0.88,8.45,6
985834,0.94,9.05,5
985825,0.95,8.75,5
985822,0.98,18.5,5
985814,0.95,9.65,4
985808,0.93,8.45,4
985786,0.91,8.6,5
985785,0.95,8.3,3
985775,0.93,15.35,6
985766,0.92,10.1,5
985764,0.92,15.5,6
985756,0.84,8.75,3
985751,0.92,9.2,6
985741,0.92,8,4
985725,0.94,10.1,4
985712,0.94,10.1,6
985699,0.94,12.95,8
985698,0.85,8.45,5
985667,0.92,8.15,5
985664,3.7,8.6,2
985636,0.9,9.65,5
985625,0.97,11,6
985618,0.88,9.05,5
985579,0.9,9.95,5
985577,0.94,8.45,6
985562,0.96,9.8,5
985545,18.48,8.45,5
985454,0.85,8.45,4
985446,0.93,10.55,5
985393,0.94,8.3,6
985341,0.9,8.15,4
985331,0.92,8.75,5
985321,0.88,8,4
985266,0.94,9.8,6
985253,0.9,8.15,5
985233,3.62,8.15,5
985224,0.95,14.15,5
985201,0.9,8.6,6
985194,0.95,13.85,6
985189,4.08,9.5,4
985181,0.86,8.6,5
985127,0.92,9.65,5
985105,0.93,8.6,5
985086,0.95,15.95,6
985080,0.97,8.6,6
985073,0.93,8.15,4
985059,0.97,8.75,6
985045,0.92,9.2,5
985022,0.94,8,6
984983,0.93,9.5,5
984969,0.92,11.6,6
984943,0.91,10.4,5
984930,4.54,15.95,8
984906,0.87,10.25,5
984892,0.9,9.5,4
984884,4.6,16.7,8
984880,0.95,10.4,6
984877,0.96,9.35,5
984867,4.65,33.2,6
984861,0.95,8.6,6
984857,0.93,8.15,5
984816,0.97,8.6,5
984812,0.94,8,4
984806,0.91,10.55,4
984788,0.95,8,5
984769,0.92,14.45,8
984727,0.93,11.3,8
984724,0.9,11.6,5
984702,4.53,13.7,8
984697,0.9,9.35,4
984693,0.94,10.25,3
984666,7.36,10.4,5
