date_date,campaign_name,ads_cost
2021-04-04,FR - TXT - GC - Génériques - Enfant,13
2021-04-04,FR - TXT - GC - Génériques - Entretien,56
2021-04-04,FR - TXT - GC - Génériques - Epicerie,34
2021-04-04,IA - COM - [ENG - ACQ] - Boost,57
2021-04-04,IA - COM - [PUR - ACQ],77
2021-04-04,IA - COM - [PUR - ACQ] - DABA,121
2021-04-04,IA - COM - [PUR - RT] - Clients Existants,61
2021-04-04,IA - COM - [PUR - RT] - DPA ex clients,122
2021-04-04,IA - COM - [PUR - RT] - Site & CRM,66
2021-04-04,criteo_lower_funnel,105
2021-04-04,criteo_mid_funnel,16
2021-04-04,criteo_seg_occasionnels,22
2021-04-05,CH - SHP - All Products,21
2021-04-05,FR - DSA - Page Feed - Product,416
2021-04-05,FR - SHP - AB - Beaute & Hygiene - Smart,124
2021-04-05,FR - SHP - AB - Enfant,4
2021-04-05,FR - SHP - AB - Entretien,71
2021-04-05,FR - SHP - AB - Epicerie Salée,47
2021-04-05,FR - SHP - AB - Epicerie Sucrée,28
2021-04-05,FR - SHP - AB - Extérieur,2
2021-04-05,FR - SHP - AB - Maison - Smart,204
2021-04-05,FR - SHP - AB - Santé & Bien-être - Smart,62
2021-04-05,FR - SHP - AB - Top Marge - Smart,34
2021-04-05,FR - SHP - All Products,50
2021-04-05,FR - SHP - All Products - Smart,"1,032"
2021-04-05,FR - SHP - Couche - Smart,140
2021-04-05,FR - TXT - B - Marques,170
2021-04-05,FR - TXT - BN - Marque Greenweez,187
2021-04-05,FR - TXT - G - Générique Bio,66
2021-04-05,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8
2021-04-05,FR - TXT - GC - Génériques - Beauté & Hygiène,28
2021-04-05,FR - TXT - GC - Génériques - Cuisine,74
2021-04-05,FR - TXT - GC - Génériques - Enfant,19
2021-04-05,FR - TXT - GC - Génériques - Entretien,98
2021-04-05,FR - TXT - GC - Génériques - Epicerie,50
2021-04-05,IA - COM - [ENG - ACQ] - Boost,59
2021-04-05,IA - COM - [PUR - ACQ],81
2021-04-05,IA - COM - [PUR - ACQ] - DABA,122
2021-04-05,IA - COM - [PUR - RT] - Clients Existants,61
2021-04-05,IA - COM - [PUR - RT] - DPA ex clients,94
2021-04-05,IA - COM - [PUR - RT] - Site & CRM,67
2021-04-05,criteo_audience_tv,9
2021-04-05,criteo_lower_funnel,87
2021-04-05,criteo_mid_funnel,13
2021-04-05,criteo_seg_occasionnels,24
2021-04-06,CH - SHP - All Products,23
2021-04-06,FR - DSA - Page Feed - Product,397
2021-04-06,FR - SHP - AB - Beaute & Hygiene - Smart,120
2021-04-06,FR - SHP - AB - Enfant,6
2021-04-06,FR - SHP - AB - Entretien,68
2021-04-06,FR - SHP - AB - Epicerie Salée,48
