date_date,paid_source,campaign_key,campaign_name,cost,impression,click
2021-06-10,Criteo,criteo_epicerie,criteo_epicerie,20.0,28358.0,27.0
2021-06-04,Criteo,criteo_epicerie,criteo_epicerie,13.0,28343.0,29.0
2021-06-06,Criteo,criteo_epicerie,criteo_epicerie,14.0,28270.0,29.0
2021-06-08,Criteo,criteo_epicerie,criteo_epicerie,20.0,35091.0,32.0
2021-06-02,Criteo,criteo_epicerie,criteo_epicerie,21.0,36526.0,34.0
2021-06-05,Criteo,criteo_epicerie,criteo_epicerie,15.0,26975.0,41.0
2021-06-07,Criteo,criteo_epicerie,criteo_epicerie,21.0,35354.0,43.0
2021-06-01,Criteo,criteo_mid_funnel,criteo_mid_funnel,4.0,10271.0,15.0
2021-09-07,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,25460.0,22.0
2021-09-10,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,28753.0,27.0
2021-06-16,Criteo,criteo_mid_funnel,criteo_mid_funnel,11.0,21727.0,28.0
2021-06-26,Criteo,criteo_mid_funnel,criteo_mid_funnel,12.0,19405.0,28.0
2021-06-15,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,22428.0,29.0
2021-06-25,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,22148.0,29.0
2021-08-31,Criteo,criteo_mid_funnel,criteo_mid_funnel,19.0,36072.0,31.0
2021-06-17,Criteo,criteo_mid_funnel,criteo_mid_funnel,15.0,27750.0,32.0
2021-06-05,Criteo,criteo_mid_funnel,criteo_mid_funnel,10.0,19279.0,32.0
2021-07-27,Criteo,criteo_mid_funnel,criteo_mid_funnel,19.0,28440.0,32.0
2021-07-06,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,23511.0,32.0
2021-06-11,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,24205.0,34.0
2021-09-08,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,34371.0,38.0
2021-06-18,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,28253.0,38.0
2021-06-29,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,28592.0,38.0
2021-06-30,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,31137.0,38.0
2021-06-19,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,24818.0,38.0
2021-07-21,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,27319.0,38.0
2021-06-20,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,30307.0,40.0
2021-06-22,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,30168.0,40.0
2021-06-03,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,27803.0,40.0
2021-08-30,Criteo,criteo_mid_funnel,criteo_mid_funnel,22.0,35434.0,40.0
2021-08-28,Criteo,criteo_mid_funnel,criteo_mid_funnel,19.0,35341.0,40.0
2021-08-26,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,37026.0,42.0
2021-07-14,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,25098.0,42.0
2021-07-05,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,27773.0,42.0
2021-07-15,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,34386.0,44.0
2021-06-07,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,29876.0,44.0
2021-06-21,Criteo,criteo_mid_funnel,criteo_mid_funnel,21.0,35564.0,44.0
2021-07-28,Criteo,criteo_mid_funnel,criteo_mid_funnel,22.0,34174.0,44.0
2021-07-17,Criteo,criteo_mid_funnel,criteo_mid_funnel,15.0,27374.0,46.0
2021-09-25,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,27357.0,46.0
2021-06-04,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,26195.0,46.0
2021-09-09,Criteo,criteo_mid_funnel,criteo_mid_funnel,22.0,36575.0,46.0
2021-06-23,Criteo,criteo_mid_funnel,criteo_mid_funnel,21.0,33971.0,46.0
2021-06-28,Criteo,criteo_mid_funnel,criteo_mid_funnel,21.0,36400.0,46.0
2021-09-14,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,30543.0,46.0
2021-06-13,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,26600.0,48.0
2021-07-23,Criteo,criteo_mid_funnel,criteo_mid_funnel,23.0,33898.0,50.0
2021-09-21,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,31598.0,50.0
2021-06-06,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,24417.0,50.0
2021-07-30,Criteo,criteo_mid_funnel,criteo_mid_funnel,24.0,37857.0,50.0
2021-06-14,Criteo,criteo_mid_funnel,criteo_mid_funnel,21.0,35956.0,52.0
2021-08-04,Criteo,criteo_mid_funnel,criteo_mid_funnel,27.0,39812.0,52.0
2021-07-11,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,27857.0,54.0
2021-09-23,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,34418.0,54.0
2021-08-03,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,38071.0,54.0
2021-07-20,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,37143.0,56.0
2021-06-09,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,30731.0,56.0
2021-07-10,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,25454.0,56.0
2021-08-29,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,36867.0,56.0
2021-08-05,Criteo,criteo_mid_funnel,criteo_mid_funnel,27.0,44770.0,58.0
2021-09-18,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,29789.0,58.0
2021-08-02,Criteo,criteo_mid_funnel,criteo_mid_funnel,27.0,39914.0,58.0
2021-08-16,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,40348.0,62.0
2021-09-06,Criteo,criteo_mid_funnel,criteo_mid_funnel,30.0,50237.0,64.0
2021-09-24,Criteo,criteo_mid_funnel,criteo_mid_funnel,23.0,34714.0,68.0
2021-09-20,Criteo,criteo_mid_funnel,criteo_mid_funnel,27.0,44203.0,68.0
2021-09-12,Criteo,criteo_mid_funnel,criteo_mid_funnel,25.0,41880.0,68.0
